FromAddress,ToCity,ToState,PackageSize,Cost,ShippingTimeDays,Service
Boise,Marble Falls,TX,Size S,7.95,3,UPS® Ground
Boise,San Diego,CA,Size S,7.0,2,UPS® Ground
Boise,Tampa,FL,Size S,8.61,5,UPS® Ground
Boise,Jacksonville,FL,Size S,8.7,5,UPS® Ground
Boise,Louisville,KY,Size S,8.18,4,UPS® Ground
Boise,Marietta,GA,Size S,8.7,4,UPS® Ground
Boise,Raleigh,NC,Size S,8.7,5,UPS® Ground
Boise,Fort Worth,TX,Size S,7.95,3,UPS® Ground
Boise,Oklahoma City,OK,Size S,7.95,3,UPS® Ground
Boise,Chesapeake,VA,Size S,8.7,5,UPS® Ground
Boise,Dallas,TX,Size S,7.95,3,UPS® Ground
Boise,Denver,CO,Size S,7.0,2,UPS® Ground
Boise,Miami,FL,Size S,8.7,5,UPS® Ground
Boise,Omaha,NE,Size S,7.95,3,UPS® Ground
Boise,Pittsburgh,PA,Size S,8.7,4,UPS® Ground
Boise,Portland,OR,Size S,6.69,2,UPS® Ground
Boise,San Francisco,CA,Size S,6.52,2,UPS® Ground
Boise,San Jose,CA,Size S,6.69,2,UPS® Ground
Boise,Tucson,AZ,Size S,7.0,3,UPS® Ground
Boise,Virginia Beach,VA,Size S,8.7,5,UPS® Ground
Boise,Albuquerque,NM,Size S,7.0,3,UPS® Ground
Boise,Canton,GA,Size S,8.18,4,UPS® Ground
Boise,Gilbert,AZ,Size S,7.0,3,UPS® Ground
Boise,Kansas City,MO,Size S,7.95,3,UPS® Ground
Boise,Nashville,TN,Size S,8.18,4,UPS® Ground
Boise,Saint Louis,MO,Size S,7.95,3,UPS® Ground
Boise,Seattle,WA,Size S,6.69,2,UPS® Ground
Boise,Boise,ID,Size S,6.48,1,UPS® Ground
Boise,Indianapolis,IN,Size S,8.18,4,UPS® Ground
Boise,Knoxville,TN,Size S,8.18,4,UPS® Ground
Boise,Reno,NV,Size S,6.69,1,UPS® Ground
Boise,Rochester,NY,Size S,8.7,5,UPS® Ground
Boise,Bismarck,ND,Size S,7.0,3,UPS® Ground
Boise,Columbia,MO,Size S,7.95,3,UPS® Ground
Boise,Franklin,TN,Size S,8.18,4,UPS® Ground
Boise,Los Angeles,CA,Size S,6.91,2,UPS® Ground
Boise,Mesa,AZ,Size S,7.0,3,UPS® Ground
Boise,Milwaukee,WI,Size S,8.18,4,UPS® Ground
Boise,Abbeville,LA,Size S,8.18,4,UPS® Ground
Boise,Abbot,ME,Size S,8.7,5,UPS® Ground
Boise,Abingdon,MD,Size S,8.7,4,UPS® Ground
Boise,Accord,NY,Size S,8.7,,UPS® Ground
Boise,Acton,CA,Size S,6.69,3,UPS® Ground
Boise,Acton,MA,Size S,8.7,5,UPS® Ground
Boise,Acton,ME,Size S,8.7,,UPS® Ground
Boise,Acworth,GA,Size S,8.18,4,UPS® Ground
Boise,Ada,MI,Size S,8.18,,UPS® Ground
Boise,Ada,OK,Size S,7.95,3,UPS® Ground
Boise,Adams,MA,Size S,8.7,5,UPS® Ground
Boise,Adams Run,SC,Size S,8.7,,UPS® Ground
Boise,Adamsville,TN,Size S,8.18,,UPS® Ground
Boise,Adel,GA,Size S,8.7,4,UPS® Ground
Boise,Adirondack,NY,Size S,8.7,,UPS® Ground
Boise,Adrian,MO,Size S,7.95,,UPS® Ground
Boise,Advance,NC,Size S,8.7,5,UPS® Ground
Boise,Affton,MO,Size S,7.95,3,UPS® Ground
Boise,Afton,NY,Size S,8.7,,UPS® Ground
Boise,Ahwahnee,CA,Size S,6.69,,UPS® Ground
Boise,Alabaster,AL,Size S,8.18,4,UPS® Ground
Boise,Alamo,CA,Size S,6.69,,UPS® Ground
Boise,Alapaha,GA,Size S,8.7,,UPS® Ground
Boise,Alba,TX,Size S,7.95,,UPS® Ground
Chicago,Brooklyn,NY,Size S,7.0,2,UPS® Ground
Chicago,Houston,TX,Size S,7.95,3,UPS® Ground
Chicago,Phoenix,AZ,Size S,8.18,3,UPS® Ground
Chicago,San Antonio,TX,Size S,7.95,3,UPS® Ground
Chicago,Chicago,IL,Size S,6.48,1,UPS® Ground
Chicago,Austin,TX,Size S,7.0,2,UPS® Ground
Chicago,Charlotte,NC,Size S,7.0,2,UPS® Ground
Chicago,New York,NY,Size S,7.0,2,UPS® Ground
Chicago,Atlanta,GA,Size S,7.0,2,UPS® Ground
Chicago,Orlando,FL,Size S,7.95,2,UPS® Ground
Chicago,Las Vegas,NV,Size S,8.18,3,UPS® Ground
Chicago,Colorado Springs,CO,Size S,7.0,2,UPS® Ground
Chicago,Marble Falls,TX,Size S,7.0,2,UPS® Ground
Chicago,San Diego,CA,Size S,8.18,3,UPS® Ground
Chicago,Tampa,FL,Size S,6.91,2,UPS® Ground
Chicago,Jacksonville,FL,Size S,7.0,2,UPS® Ground
Chicago,Louisville,KY,Size S,6.56,2,UPS® Ground
Chicago,Marietta,GA,Size S,7.0,2,UPS® Ground
Chicago,Raleigh,NC,Size S,7.0,2,UPS® Ground
Chicago,Fort Worth,TX,Size S,7.0,2,UPS® Ground
Chicago,Oklahoma City,OK,Size S,7.0,2,UPS® Ground
Chicago,Chesapeake,VA,Size S,7.0,3,UPS® Ground
Chicago,Dallas,TX,Size S,7.0,2,UPS® Ground
Chicago,Denver,CO,Size S,7.0,2,UPS® Ground
Chicago,Miami,FL,Size S,7.95,3,UPS® Ground
Chicago,Omaha,NE,Size S,6.69,2,UPS® Ground
Chicago,Pittsburgh,PA,Size S,6.69,2,UPS® Ground
Chicago,Portland,OR,Size S,8.18,3,UPS® Ground
Chicago,San Francisco,CA,Size S,8.61,4,UPS® Ground
Chicago,San Jose,CA,Size S,8.7,4,UPS® Ground
Chicago,Tucson,AZ,Size S,8.18,3,UPS® Ground
Chicago,Virginia Beach,VA,Size S,7.0,3,UPS® Ground
Chicago,Albuquerque,NM,Size S,7.95,4,UPS® Ground
Chicago,Canton,GA,Size S,7.0,2,UPS® Ground
Chicago,Gilbert,AZ,Size S,8.18,3,UPS® Ground
Chicago,Kansas City,MO,Size S,6.69,2,UPS® Ground
Chicago,Nashville,TN,Size S,6.69,2,UPS® Ground
Chicago,Saint Louis,MO,Size S,6.69,1,UPS® Ground
Chicago,Seattle,WA,Size S,8.18,4,UPS® Ground
Chicago,Boise,ID,Size S,8.18,3,UPS® Ground
Chicago,Indianapolis,IN,Size S,6.56,1,UPS® Ground
Chicago,Knoxville,TN,Size S,6.69,2,UPS® Ground
Chicago,Reno,NV,Size S,8.18,3,UPS® Ground
Chicago,Rochester,NY,Size S,6.69,2,UPS® Ground
Chicago,Bismarck,ND,Size S,7.0,3,UPS® Ground
Chicago,Columbia,MO,Size S,6.69,2,UPS® Ground
Chicago,Franklin,TN,Size S,6.69,2,UPS® Ground
Chicago,Los Angeles,CA,Size S,8.09,3,UPS® Ground
Chicago,Mesa,AZ,Size S,8.18,3,UPS® Ground
Chicago,Milwaukee,WI,Size S,6.48,1,UPS® Ground
Chicago,Abbeville,LA,Size S,7.0,3,UPS® Ground
Chicago,Abbot,ME,Size S,7.0,3,UPS® Ground
Chicago,Abingdon,MD,Size S,7.0,2,UPS® Ground
Chicago,Accord,NY,Size S,7.0,,UPS® Ground
Chicago,Acton,CA,Size S,8.18,3,UPS® Ground
Chicago,Acton,MA,Size S,7.0,3,UPS® Ground
Chicago,Acton,ME,Size S,7.0,,UPS® Ground
Chicago,Acworth,GA,Size S,7.0,2,UPS® Ground
Chicago,Ada,MI,Size S,6.48,,UPS® Ground
Chicago,Ada,OK,Size S,7.0,2,UPS® Ground
Chicago,Adams,MA,Size S,7.0,3,UPS® Ground
Chicago,Adams Run,SC,Size S,7.0,,UPS® Ground
Chicago,Adamsville,TN,Size S,6.69,,UPS® Ground
Chicago,Adel,GA,Size S,7.0,2,UPS® Ground
Chicago,Adirondack,NY,Size S,7.0,,UPS® Ground
Chicago,Adrian,MO,Size S,6.69,,UPS® Ground
Chicago,Advance,NC,Size S,6.69,2,UPS® Ground
Chicago,Affton,MO,Size S,6.69,1,UPS® Ground
Chicago,Afton,NY,Size S,7.0,,UPS® Ground
Chicago,Ahwahnee,CA,Size S,8.18,,UPS® Ground
Chicago,Alabaster,AL,Size S,6.69,2,UPS® Ground
Chicago,Alamo,CA,Size S,8.7,,UPS® Ground
Chicago,Alapaha,GA,Size S,7.0,,UPS® Ground
Chicago,Alba,TX,Size S,7.0,,UPS® Ground
Columbus,Brooklyn,NY,Size S,7.0,2,UPS® Ground
Columbus,Houston,TX,Size S,7.95,3,UPS® Ground
Columbus,Phoenix,AZ,Size S,8.18,4,UPS® Ground
Columbus,San Antonio,TX,Size S,8.18,3,UPS® Ground
Columbus,Chicago,IL,Size S,6.69,1,UPS® Ground
Columbus,Austin,TX,Size S,7.95,2,UPS® Ground
Columbus,Charlotte,NC,Size S,6.69,2,UPS® Ground
Columbus,New York,NY,Size S,6.69,2,UPS® Ground
Columbus,Atlanta,GA,Size S,6.69,2,UPS® Ground
Columbus,Orlando,FL,Size S,7.0,2,UPS® Ground
Columbus,Las Vegas,NV,Size S,8.7,3,UPS® Ground
Columbus,Colorado Springs,CO,Size S,7.95,3,UPS® Ground
Columbus,Marble Falls,TX,Size S,7.95,2,UPS® Ground
Columbus,San Diego,CA,Size S,8.7,3,UPS® Ground
Columbus,Tampa,FL,Size S,6.91,2,UPS® Ground
Columbus,Jacksonville,FL,Size S,7.0,2,UPS® Ground
Columbus,Louisville,KY,Size S,6.56,1,UPS® Ground
Columbus,Marietta,GA,Size S,6.69,2,UPS® Ground
Columbus,Raleigh,NC,Size S,6.69,2,UPS® Ground
Columbus,Fort Worth,TX,Size S,7.0,2,UPS® Ground
Columbus,Oklahoma City,OK,Size S,7.0,3,UPS® Ground
Columbus,Chesapeake,VA,Size S,6.69,2,UPS® Ground
Columbus,Dallas,TX,Size S,7.0,2,UPS® Ground
Columbus,Denver,CO,Size S,8.18,3,UPS® Ground
Columbus,Miami,FL,Size S,7.95,2,UPS® Ground
Columbus,Omaha,NE,Size S,7.0,2,UPS® Ground
Columbus,Pittsburgh,PA,Size S,6.56,1,UPS® Ground
Columbus,Portland,OR,Size S,8.7,3,UPS® Ground
Columbus,San Francisco,CA,Size S,8.61,4,UPS® Ground
Columbus,San Jose,CA,Size S,8.7,4,UPS® Ground
Columbus,Tucson,AZ,Size S,8.18,4,UPS® Ground
Columbus,Virginia Beach,VA,Size S,6.69,2,UPS® Ground
Columbus,Albuquerque,NM,Size S,7.95,4,UPS® Ground
Columbus,Canton,GA,Size S,6.69,2,UPS® Ground
Columbus,Gilbert,AZ,Size S,8.18,4,UPS® Ground
Columbus,Kansas City,MO,Size S,7.0,2,UPS® Ground
Columbus,Nashville,TN,Size S,6.69,2,UPS® Ground
Columbus,Saint Louis,MO,Size S,6.69,2,UPS® Ground
Columbus,Seattle,WA,Size S,8.7,4,UPS® Ground
Columbus,Boise,ID,Size S,8.18,3,UPS® Ground
Columbus,Indianapolis,IN,Size S,6.56,1,UPS® Ground
Columbus,Knoxville,TN,Size S,6.56,2,UPS® Ground
Columbus,Reno,NV,Size S,8.7,3,UPS® Ground
Columbus,Rochester,NY,Size S,6.69,2,UPS® Ground
Columbus,Bismarck,ND,Size S,7.0,3,UPS® Ground
Columbus,Columbia,MO,Size S,6.69,2,UPS® Ground
Columbus,Franklin,TN,Size S,6.69,2,UPS® Ground
Columbus,Los Angeles,CA,Size S,8.61,3,UPS® Ground
Columbus,Mesa,AZ,Size S,8.18,4,UPS® Ground
Columbus,Milwaukee,WI,Size S,6.69,2,UPS® Ground
Columbus,Abbeville,LA,Size S,7.0,3,UPS® Ground
Columbus,Abbot,ME,Size S,7.0,2,UPS® Ground
Columbus,Abingdon,MD,Size S,6.69,2,UPS® Ground
Columbus,Accord,NY,Size S,6.69,,UPS® Ground
Columbus,Acton,CA,Size S,8.7,3,UPS® Ground
Columbus,Acton,MA,Size S,7.0,2,UPS® Ground
Columbus,Acton,ME,Size S,7.0,,UPS® Ground
Columbus,Acworth,GA,Size S,6.69,2,UPS® Ground
Columbus,Ada,MI,Size S,6.56,,UPS® Ground
Columbus,Ada,OK,Size S,7.0,3,UPS® Ground
Columbus,Adams,MA,Size S,6.69,2,UPS® Ground
Columbus,Adams Run,SC,Size S,6.69,,UPS® Ground
Columbus,Adamsville,TN,Size S,6.69,,UPS® Ground
Columbus,Adel,GA,Size S,6.69,2,UPS® Ground
Columbus,Adirondack,NY,Size S,6.69,,UPS® Ground
Columbus,Adrian,MO,Size S,7.0,,UPS® Ground
Columbus,Advance,NC,Size S,6.56,2,UPS® Ground
Columbus,Affton,MO,Size S,6.69,2,UPS® Ground
Columbus,Afton,NY,Size S,6.69,,UPS® Ground
Columbus,Ahwahnee,CA,Size S,8.7,,UPS® Ground
Columbus,Alabaster,AL,Size S,6.69,2,UPS® Ground
Columbus,Alamo,CA,Size S,8.7,,UPS® Ground
Columbus,Alapaha,GA,Size S,6.69,,UPS® Ground
Columbus,Alba,TX,Size S,7.0,,UPS® Ground
Dallas,Brooklyn,NY,Size S,7.95,3,UPS® Ground
Dallas,Houston,TX,Size S,6.56,1,UPS® Ground
Dallas,Phoenix,AZ,Size S,7.95,3,UPS® Ground
Dallas,San Antonio,TX,Size S,6.69,1,UPS® Ground
Dallas,Chicago,IL,Size S,7.0,2,UPS® Ground
Dallas,Austin,TX,Size S,6.56,1,UPS® Ground
Dallas,Charlotte,NC,Size S,7.0,3,UPS® Ground
Dallas,New York,NY,Size S,7.95,3,UPS® Ground
Dallas,Atlanta,GA,Size S,7.0,2,UPS® Ground
Dallas,Orlando,FL,Size S,7.95,2,UPS® Ground
Dallas,Las Vegas,NV,Size S,8.18,3,UPS® Ground
Dallas,Colorado Springs,CO,Size S,7.0,2,UPS® Ground
Dallas,Marble Falls,TX,Size S,6.56,1,UPS® Ground
Dallas,San Diego,CA,Size S,7.95,3,UPS® Ground
Dallas,Tampa,FL,Size S,6.91,2,UPS® Ground
Dallas,Jacksonville,FL,Size S,7.0,2,UPS® Ground
Dallas,Louisville,KY,Size S,7.0,3,UPS® Ground
Dallas,Marietta,GA,Size S,7.0,2,UPS® Ground
Dallas,Raleigh,NC,Size S,7.95,3,UPS® Ground
Dallas,Fort Worth,TX,Size S,6.48,1,UPS® Ground
Dallas,Oklahoma City,OK,Size S,6.56,1,UPS® Ground
Dallas,Chesapeake,VA,Size S,7.95,3,UPS® Ground
Dallas,Dallas,TX,Size S,6.48,1,UPS® Ground
Dallas,Denver,CO,Size S,7.0,2,UPS® Ground
Dallas,Miami,FL,Size S,8.18,3,UPS® Ground
Dallas,Omaha,NE,Size S,7.0,2,UPS® Ground
Dallas,Pittsburgh,PA,Size S,7.95,3,UPS® Ground
Dallas,Portland,OR,Size S,8.18,4,UPS® Ground
Dallas,San Francisco,CA,Size S,8.09,3,UPS® Ground
Dallas,San Jose,CA,Size S,8.18,3,UPS® Ground
Dallas,Tucson,AZ,Size S,7.0,3,UPS® Ground
Dallas,Virginia Beach,VA,Size S,7.95,3,UPS® Ground
Dallas,Albuquerque,NM,Size S,7.0,2,UPS® Ground
Dallas,Canton,GA,Size S,7.0,2,UPS® Ground
Dallas,Gilbert,AZ,Size S,7.95,3,UPS® Ground
Dallas,Kansas City,MO,Size S,6.69,2,UPS® Ground
Dallas,Nashville,TN,Size S,7.0,2,UPS® Ground
Dallas,Saint Louis,MO,Size S,6.69,2,UPS® Ground
Dallas,Seattle,WA,Size S,8.18,4,UPS® Ground
Dallas,Boise,ID,Size S,7.95,4,UPS® Ground
Dallas,Indianapolis,IN,Size S,7.0,3,UPS® Ground
Dallas,Knoxville,TN,Size S,7.0,2,UPS® Ground
Dallas,Reno,NV,Size S,7.95,4,UPS® Ground
Dallas,Rochester,NY,Size S,7.95,4,UPS® Ground
Dallas,Bismarck,ND,Size S,7.0,3,UPS® Ground
Dallas,Columbia,MO,Size S,6.69,2,UPS® Ground
Dallas,Franklin,TN,Size S,7.0,2,UPS® Ground
Dallas,Los Angeles,CA,Size S,7.86,3,UPS® Ground
Dallas,Mesa,AZ,Size S,7.95,3,UPS® Ground
Dallas,Milwaukee,WI,Size S,7.0,3,UPS® Ground
Dallas,Abbeville,LA,Size S,6.69,2,UPS® Ground
Dallas,Abbot,ME,Size S,8.18,3,UPS® Ground
Dallas,Abingdon,MD,Size S,7.95,3,UPS® Ground
Dallas,Accord,NY,Size S,7.95,,UPS® Ground
Dallas,Acton,CA,Size S,7.95,3,UPS® Ground
Dallas,Acton,MA,Size S,8.18,3,UPS® Ground
Dallas,Acton,ME,Size S,8.18,,UPS® Ground
Dallas,Acworth,GA,Size S,7.0,2,UPS® Ground
Dallas,Ada,MI,Size S,7.0,,UPS® Ground
Dallas,Ada,OK,Size S,6.56,1,UPS® Ground
Dallas,Adams,MA,Size S,7.95,3,UPS® Ground
Dallas,Adams Run,SC,Size S,7.0,,UPS® Ground
Dallas,Adamsville,TN,Size S,6.69,,UPS® Ground
Dallas,Adel,GA,Size S,7.0,2,UPS® Ground
Dallas,Adirondack,NY,Size S,8.18,,UPS® Ground
Dallas,Adrian,MO,Size S,6.69,,UPS® Ground
Dallas,Advance,NC,Size S,7.0,3,UPS® Ground
Dallas,Affton,MO,Size S,6.69,2,UPS® Ground
Dallas,Afton,NY,Size S,7.95,,UPS® Ground
Dallas,Ahwahnee,CA,Size S,7.95,,UPS® Ground
Dallas,Alabaster,AL,Size S,6.69,2,UPS® Ground
Dallas,Alamo,CA,Size S,8.18,,UPS® Ground
Dallas,Alapaha,GA,Size S,7.0,,UPS® Ground
Dallas,Alba,TX,Size S,6.48,,UPS® Ground
Denver,Brooklyn,NY,Size S,8.18,3,UPS® Ground
Denver,Houston,TX,Size S,7.0,2,UPS® Ground
Denver,Phoenix,AZ,Size S,7.0,2,UPS® Ground
Denver,San Antonio,TX,Size S,7.0,2,UPS® Ground
Denver,Chicago,IL,Size S,7.0,2,UPS® Ground
Denver,Austin,TX,Size S,7.0,2,UPS® Ground
Denver,Charlotte,NC,Size S,7.95,3,UPS® Ground
Denver,New York,NY,Size S,8.18,3,UPS® Ground
Denver,Atlanta,GA,Size S,7.95,3,UPS® Ground
Denver,Orlando,FL,Size S,8.18,3,UPS® Ground
Denver,Las Vegas,NV,Size S,7.95,2,UPS® Ground
Denver,Colorado Springs,CO,Size S,6.48,1,UPS® Ground
Denver,Marble Falls,TX,Size S,7.0,2,UPS® Ground
Denver,San Diego,CA,Size S,7.0,2,UPS® Ground
Denver,Tampa,FL,Size S,8.09,3,UPS® Ground
Denver,Jacksonville,FL,Size S,8.18,3,UPS® Ground
Denver,Louisville,KY,Size S,7.95,3,UPS® Ground
Denver,Marietta,GA,Size S,7.95,3,UPS® Ground
Denver,Raleigh,NC,Size S,8.18,3,UPS® Ground
Denver,Fort Worth,TX,Size S,7.0,2,UPS® Ground
Denver,Oklahoma City,OK,Size S,6.69,2,UPS® Ground
Denver,Chesapeake,VA,Size S,8.18,3,UPS® Ground
Denver,Dallas,TX,Size S,7.0,2,UPS® Ground
Denver,Denver,CO,Size S,6.48,1,UPS® Ground
Denver,Miami,FL,Size S,8.18,3,UPS® Ground
Denver,Omaha,NE,Size S,6.69,2,UPS® Ground
Denver,Pittsburgh,PA,Size S,7.95,3,UPS® Ground
Denver,Portland,OR,Size S,7.0,3,UPS® Ground
Denver,San Francisco,CA,Size S,6.91,2,UPS® Ground
Denver,San Jose,CA,Size S,7.0,2,UPS® Ground
