FromAddress,ToCity,ToState,PackageSize,Cost,ShippingTimeDays,Service
Oklahoma City,Chesapeake,VA,Size L,15.29,3,UPS® Ground
Oklahoma City,Miami,FL,Size L,16.29,3,UPS® Ground
Oklahoma City,Milford,CT,Size L,16.29,3,UPS® Ground
Oklahoma City,Pittsburgh,PA,Size L,15.29,3,UPS® Ground
Oklahoma City,San Francisco,CA,Size L,15.29,4,UPS® Ground
Oklahoma City,San Jose,CA,Size L,15.29,4,UPS® Ground
Oklahoma City,Tucson,AZ,Size L,14.1,3,UPS® Ground
Oklahoma City,Virginia Beach,VA,Size L,15.29,3,UPS® Ground
Oklahoma City,Albuquerque,NM,Size L,10.54,2,UPS® Ground
Oklahoma City,Gilbert,AZ,Size L,14.1,3,UPS® Ground
Oklahoma City,Springfield,IL,Size L,10.54,2,UPS® Ground
Oklahoma City,Alexandria,VA,Size L,15.29,3,UPS® Ground
Oklahoma City,Kansas City,MO,Size L,10.54,2,UPS® Ground
Oklahoma City,Knoxville,TN,Size L,14.1,2,UPS® Ground
Oklahoma City,Lakewood,CO,Size L,10.54,2,UPS® Ground
Oklahoma City,Nashville,TN,Size L,10.54,2,UPS® Ground
Oklahoma City,Saint Louis,MO,Size L,10.54,2,UPS® Ground
Oklahoma City,Seattle,WA,Size L,16.29,4,UPS® Ground
Stockton,Brooklyn,NY,Size L,17.29,4,UPS® Ground
Stockton,Phoenix,AZ,Size L,14.1,2,UPS® Ground
Stockton,Houston,TX,Size L,16.29,4,UPS® Ground
Stockton,San Antonio,TX,Size L,15.29,3,UPS® Ground
Stockton,Jacksonville,FL,Size L,17.29,5,UPS® Ground
Stockton,Chicago,IL,Size L,16.29,3,UPS® Ground
Stockton,Dallas,TX,Size L,15.29,4,UPS® Ground
Stockton,Wilmington,DE,Size L,17.29,4,UPS® Ground
Stockton,Austin,TX,Size L,16.29,3,UPS® Ground
Stockton,Canton,OH,Size L,17.29,4,UPS® Ground
Stockton,Charlotte,NC,Size L,17.29,5,UPS® Ground
Stockton,New York,NY,Size L,17.29,4,UPS® Ground
Stockton,Atlanta,GA,Size L,17.29,4,UPS® Ground
Stockton,Franklin,TN,Size L,17.29,4,UPS® Ground
Stockton,Lexington,KY,Size L,17.29,4,UPS® Ground
Stockton,Orlando,FL,Size L,17.29,5,UPS® Ground
Stockton,Rochester,NY,Size L,17.29,4,UPS® Ground
Stockton,Las Vegas,NV,Size L,10.54,2,UPS® Ground
Stockton,Louisville,KY,Size L,17.29,3,UPS® Ground
Stockton,Marietta,GA,Size L,17.29,4,UPS® Ground
Stockton,Colorado Springs,CO,Size L,14.1,3,UPS® Ground
Stockton,Columbus,OH,Size L,17.29,4,UPS® Ground
Stockton,Marble Falls,TX,Size L,16.29,3,UPS® Ground
Stockton,Tampa,FL,Size L,17.29,5,UPS® Ground
Stockton,San Diego,CA,Size L,10.54,2,UPS® Ground
Stockton,Columbia,SC,Size L,17.29,5,UPS® Ground
Stockton,Greenville,SC,Size L,17.29,5,UPS® Ground
Stockton,Lebanon,TN,Size L,17.29,4,UPS® Ground
Stockton,Salem,OR,Size L,10.54,2,UPS® Ground
Stockton,Cleveland,OH,Size L,17.29,4,UPS® Ground
Stockton,Denver,CO,Size L,14.1,3,UPS® Ground
Stockton,Omaha,NE,Size L,15.29,4,UPS® Ground
Stockton,Portland,OR,Size L,10.54,2,UPS® Ground
Stockton,Raleigh,NC,Size L,17.29,5,UPS® Ground
Stockton,Richmond,VA,Size L,17.29,4,UPS® Ground
Stockton,Jackson,MS,Size L,16.29,4,UPS® Ground
Stockton,Albany,NY,Size L,17.29,4,UPS® Ground
Stockton,Fort Worth,TX,Size L,15.29,4,UPS® Ground
Stockton,Oklahoma City,OK,Size L,15.29,4,UPS® Ground
Stockton,Chesapeake,VA,Size L,17.29,4,UPS® Ground
Stockton,Miami,FL,Size L,17.29,5,UPS® Ground
Stockton,Milford,CT,Size L,17.29,5,UPS® Ground
Stockton,Pittsburgh,PA,Size L,17.29,4,UPS® Ground
Stockton,San Francisco,CA,Size L,8.94,1,UPS® Ground
Stockton,San Jose,CA,Size L,8.94,1,UPS® Ground
Stockton,Tucson,AZ,Size L,14.1,2,UPS® Ground
Stockton,Virginia Beach,VA,Size L,17.29,4,UPS® Ground
Stockton,Albuquerque,NM,Size L,14.1,3,UPS® Ground
Stockton,Gilbert,AZ,Size L,14.1,2,UPS® Ground
Stockton,Springfield,IL,Size L,16.29,3,UPS® Ground
Stockton,Alexandria,VA,Size L,17.29,4,UPS® Ground
Stockton,Kansas City,MO,Size L,15.29,4,UPS® Ground
Stockton,Knoxville,TN,Size L,17.29,4,UPS® Ground
Stockton,Lakewood,CO,Size L,14.1,3,UPS® Ground
Stockton,Nashville,TN,Size L,17.29,4,UPS® Ground
Stockton,Saint Louis,MO,Size L,16.29,4,UPS® Ground
Stockton,Seattle,WA,Size L,15.29,2,UPS® Ground
Austin,Brooklyn,NY,Size L,16.29,3,UPS® Ground
Austin,Phoenix,AZ,Size L,14.1,3,UPS® Ground
Austin,Houston,TX,Size L,9.94,1,UPS® Ground
Austin,San Antonio,TX,Size L,8.94,1,UPS® Ground
Austin,Jacksonville,FL,Size L,14.1,2,UPS® Ground
Austin,Chicago,IL,Size L,15.29,2,UPS® Ground
Austin,Dallas,TX,Size L,9.94,1,UPS® Ground
Austin,Wilmington,DE,Size L,16.29,3,UPS® Ground
Austin,Austin,TX,Size L,8.94,1,UPS® Ground
Austin,Canton,OH,Size L,15.29,3,UPS® Ground
Austin,Charlotte,NC,Size L,16.29,3,UPS® Ground
Austin,New York,NY,Size L,16.29,3,UPS® Ground
Austin,Atlanta,GA,Size L,14.1,3,UPS® Ground
Austin,Franklin,TN,Size L,14.1,2,UPS® Ground
Austin,Lexington,KY,Size L,14.1,3,UPS® Ground
Austin,Orlando,FL,Size L,14.1,2,UPS® Ground
Austin,Rochester,NY,Size L,16.29,4,UPS® Ground
Austin,Las Vegas,NV,Size L,15.29,3,UPS® Ground
Austin,Louisville,KY,Size L,14.1,3,UPS® Ground
Austin,Marietta,GA,Size L,14.1,3,UPS® Ground
Austin,Colorado Springs,CO,Size L,14.1,2,UPS® Ground
Austin,Columbus,OH,Size L,15.29,3,UPS® Ground
Austin,Marble Falls,TX,Size L,8.94,1,UPS® Ground
Austin,Tampa,FL,Size L,14.1,2,UPS® Ground
Austin,San Diego,CA,Size L,15.29,3,UPS® Ground
Austin,Columbia,SC,Size L,15.29,3,UPS® Ground
Austin,Greenville,SC,Size L,14.1,3,UPS® Ground
Austin,Lebanon,TN,Size L,14.1,2,UPS® Ground
Austin,Salem,OR,Size L,16.29,4,UPS® Ground
Austin,Cleveland,OH,Size L,15.29,3,UPS® Ground
Austin,Denver,CO,Size L,14.1,2,UPS® Ground
Austin,Omaha,NE,Size L,14.1,2,UPS® Ground
Austin,Portland,OR,Size L,16.29,4,UPS® Ground
